Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
Pb minor,Cu major,Archaeo,,,Italy,Sardinia,stratabound polimetallic mixed sulfides,Barbagia,,,Funtana Raminosa (DIGITA),39.87759,9.17195,galena,2.122,0.869,17.9533213644524,15.6014362657091,38.096947935368,"Valera & Valera, 2005","Valera, P.G., Valera, R.G., 2005. Outline of Geology ans Mineral Deposits of Sardinia, in: Archaeometallurgy in Sardinia. Monographies instrumentum, pp. 35-109."
Pb minor,Cu major,Archaeo,Pb ores,SARD 42  ,Italy,Sardinia,Central,Barbagia,,,Funtana Raminosa (25) ,39.87759,9.17195,Pb ores,2.1023,0.8553,18.3553597650514,15.6993392070485,38.5884728340676,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb minor,Cu major,Archaeo,Abandoned copper mine.,X4,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.08999,0.849,18.42,15.63858,38.4976158,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007F,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.1039223,0.859441,18.247729,15.682846459489,38.3918039674567,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007A,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.09616,0.84785,18.452,15.6445282,38.67834432,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007B     ,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.09869,0.84837,18.475,15.67363575,38.77329775,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007C     ,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.09902,0.84818,18.475,15.6701255,38.7793945,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007D     ,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.09916,0.84832,18.48,15.6769536,38.7924768,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007H     ,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.10005,0.84858,18.491,15.69109278,38.83202455,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007E     ,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.10099,0.84872,18.497,15.69877384,38.86201203,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007I     ,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, (NU)",40.627969,9.677337,"galena, Chalcopyrite",2.10191,0.84888,18.504,15.70767552,38.89374264,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Abandoned copper mine.,CB 1007G,Italy,Sardinia,"Sardinia, Baronia",Baronia,,Mine,"Canale Barisone, Torpe, NU",40.627969,9.677337,"galena, Chalcopyrite",2.1052849,0.8598413,18.252867,15.6945688900071,38.4274852768083,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,Copper mine,BA,Italy,Sardinia,Sardinia,Bau Arenas ,,Mine,Bau Arenas (NU),39.6967569,9.5776838,"galena, chalcopyrite",2.0994,0.85795,18.224,15.6352808,38.2594656,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,silver-lead mines (Cu ores?),SARD 125 ,Italy,Sardinia,Central,Baunei,,,Baunei (11) ,40.0323613,9.6634049,Cu ores,2.1025,0.8571,18.2781941144215,15.6662401754707,38.4299031255712,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb major,Cu major,Archaeo,Old Cu-Pb mines,X3,Italy,Sardinia,Sardinia,Bortigiadas,,Mine,"Li Menduli e Figaruia, Bortigiadas (SS)",40.8913511,9.0430579," Malachite, azurite, galena",2.09233,0.85406,18.303,15.63186018,38.29591599,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB6,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06461,0.83456,18.705,15.61,38.619,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB4,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06571,0.8354,18.715,15.635,38.66,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB14,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06252,0.83202,18.842,15.677,38.862,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB1,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07272,0.83719,18.675,15.635,38.708,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB10,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06629,0.83391,18.796,15.674,38.838,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB10,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06504,0.83306,18.821,15.679,38.866,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB2,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07359,0.8373,18.676,15.637,38.726,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB11,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06636,0.83362,18.804,15.675,38.856,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB12,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06637,0.83356,18.807,15.677,38.862,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB7,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07315,0.83748,18.69,15.653,38.747,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CDB100,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06674,0.83374,18.809,15.682,38.873,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB13,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.06731,0.83393,18.807,15.684,38.88,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB6,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07475,0.8371,18.714,15.665,38.827,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB10,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07476,0.83716,18.715,15.667,38.829,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB4,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07471,0.83711,18.718,15.669,38.834,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB9,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07521,0.83721,18.723,15.675,38.854,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB3,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07524,0.83718,18.723,15.675,38.855,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB8,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07638,0.83739,18.729,15.683,38.889,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CSB15,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07269,0.83534,18.82,15.721,39.008,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB7,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07766,0.83757,18.741,15.697,38.937,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,barite and copper,CB5,Italy,Sardinia,Sardinia Bosa,Bosa,,Open cast mine,"Castello Di Bonvei, (SS)",40.2952312,8.50366580000002,Cu carbonate,2.07779,0.83771,18.742,15.7,38.942,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
No Pb,Cu major,Archaeo,Cu ores, SARD 124  ,Italy,Sardinia,North and Northwest,Bosa,,,Bosa (1),40.2970061,8.4986123,Cu ores,2.085,0.8425,18.5804533630621,15.6540319583798,38.7402452619845,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb minor,Cu major,Archaeo,Pb ores,SARD 140-B  ,Italy,Sardinia,Sardinia,Bruncu Molentinu ,,,Bruncu Molentinu (30) ,39.4418761,9.4731665,Pb ores,2.0979,0.8471,18.5150897981855,15.6841325680429,38.8428068876134,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb major,No Cu,Archaeo,"Fluorite, Quartz, sphalerite, galena, calcite",SARD 70-B  ,Italy,Sardinia,Sardinia,Bruncu Ventura,,,Bruncu Ventura (31) ,39.4451058,9.5699474,Pb ores,2.0993,0.8489,18.4569952011812,15.6681432262827,38.7467700258397,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb major,Cu major,Archaeo,"lead, zinc, copper, iron and manganeseˇ",BUG1,Italy,Sardinia,Sardinia,Buggeru,,Malfidano Mine,Buggeru (NU),39.399384,8.4001406,"galena, sphalerite",2.12175,0.87466,17.848,15.61093168,37.868994,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CSG1 b,Italy,Sardinia,Sardinia,Calabona,,on the road to the pit,"Calabona, San Giovanni (SS)",40.533841,8.346101,3 frgms of green powdery mineral,2.09175,0.84894,18.47377,15.6831223038,38.6425083975,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CFS13a,Italy,Sardinia,Sardinia,Calabona,,From the near dump,"Calabona, Ferrari Shaft (SS)",40.533841,8.346101,chalcopyrite,2.0876,0.84428,18.5485,15.66012758,38.7218486,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,porphyry copper deposit,......,Italy,Sardinia,Sardinia,Calabona,,Cu occurrence,Alghero Calabona (SS),40.53194,8.36500,Covellite,2.10334,0.8606,18.144,15.6147264,38.16300096,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit, SARD 121c ,Italy,Sardinia,North and Northwest,Calabona,,,Calabona (2),40.533841,8.346101,Cu ores,2.0874,0.8435,18.5977310768086,15.6871861632881,38.8209038497303,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CA2 ,Italy,Sardinia,North and Northwest,Calabona,,,Calabona (2) ,40.533841,8.346101,Cu ores,2.085,0.8436,18.5563184264242,15.6541102245315,38.6899239190945,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,SARD 121b ,Italy,Sardinia,North and Northwest,Calabona,,,Calabona (2) ,40.533841,8.346101,Cu ores,2.104,0.8573,18.2415176942722,15.6384531192996,38.3801532287487,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,SARD 121a ,Italy,Sardinia,North and Northwest,Calabona,,,Calabona (2) ,40.533841,8.346101,Cu ores,2.0864,0.8429,18.5908161368284,15.6701989217327,38.7878787878788,"Begemann et al., 2001","Begemann, F., Schmitt-Strecker, S., Pernicka, E., Schiavo, F.L., 2001. Chemical Composition and Lead Isotopy of Copper and Bronze from Nuragic Sardinia. European Journal of Archaeology 4, 43-85. "
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CFS10c,Italy,Sardinia,Sardinia,Calabona,,Dump around the shaft,"Calabona, Ferrari Shaft (SS)",40.533841,8.346101,dispersed malachite,2.08883,0.84507,18.52968,15.6588766776,38.7053514744,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CV1,Italy,Sardinia,Sardinia,Calabona,,Mine,Calabona Vessus (SS),40.533841,8.346101,Haematite with malachite,2.08575,0.84364,18.54,15.6410856,38.669805,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CSG2,Italy,Sardinia,Sardinia,Calabona,,south side of the pit,"Calabona, San Giovanni 2 (SS)",40.533841,8.346101,heavy piece of chalcopyrite,2.07226,0.83866,18.692,15.67623272,38.73468392,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CFS16 a,Italy,Sardinia,Sardinia,Calabona,,Dump around the shaft,"Calabona, Ferrari Shaft (SS)",40.533841,8.346101,large piece with chalcopyrite,2.08853,0.84449,18.5509,15.666049541,38.744111177,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CFS11,Italy,Sardinia,Sardinia,Calabona,,From the wall of the shaft,"Calabona, Ferrari Shaft (SS)",40.533841,8.346101,malachite in a rock,2.08095,0.84364,18.5935,15.68622034,38.692143825,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CDC8a,Italy,Sardinia,Sardinia,Calabona,,North side of the Ferrari Shaft,"Calabona, Due Contatti (SS)",40.533841,8.346101,malachite in limonite,2.09004,0.84524,18.533,15.66483292,38.73471132,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CSG7,Italy,Sardinia,Sardinia,Calabona,,East side dump by fig three,"Calabona, San Giovanni (SS)",40.533841,8.346101,"malachite, crumbly",2.08795,0.84493,18.51749,15.6459828257,38.6635932455,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,COB20d,Italy,Sardinia,Sardinia,Calabona,,Old wall out of the mine,Calabona (SS),40.533841,8.346101,"Malachite, heavy",2.09437,0.85169,18.3973,15.668796437,38.530753201,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,COB20a,Italy,Sardinia,Sardinia,Calabona,,Old wall out of the mine,Calabona (SS),40.533841,8.346101,"Malachite, heavy",2.08925,0.84694,18.4976,15.666357344,38.6461108,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,COB18b,Italy,Sardinia,Sardinia,Calabona,,Dump near the office building,"Calabona, San Giovanni (SS)",40.533841,8.346101,"malachite, in limonite",2.08642,0.84452,18.5299,15.648871148,38.661153958,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CSF15a,Italy,Sardinia,Sardinia,Calabona,,Dump near the green wall,"Calabona, Ferrari Shaft (SS)",40.533841,8.346101,"malachite, powdery",2.08031,0.84162,18.605,15.6583401,38.70416755,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CDC9a,Italy,Sardinia,Sardinia,Calabona,,North side of the Fer.Sh.,"Calabona, Due Contatti (SS)",40.533841,8.346101,malchite in porphyry,2.08952,0.84494,18.5328,15.659104032,38.724656256,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CFS12rock,Italy,Sardinia,Sardinia,Calabona,,Dump around the shaft,"Calabona, Ferrari Shaft (SS)",40.533841,8.346101,piece of rock impregnated with Cu minerals,2.07223,0.83809,18.707,15.67814963,38.76520661,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,COB17 a,Italy,Sardinia,Sardinia,Calabona,,Dump by the office building,Calabona (SS),40.533841,8.346101,Piece with malachite & azurite,2.08715,0.84474,18.538,15.65979012,38.6915867,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CSG2B/1,Italy,Sardinia,Sardinia,Calabona,,quartz/pyrite outcrop,"Calabona, San Giovanni 2 (SS)",40.533841,8.346101,pyrite,2.08553,0.84385,18.538,15.6432913,38.66155514,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb minor,Cu major,Archaeo,abandoned mine in a porphyry copper deposit,CSG3,Italy,Sardinia,Sardinia,Calabona,,north side of the pit,"Calabona, San Giovanni 2 (SS)",40.533841,8.346101,Pyrite,2.08668,0.84437,18.536,15.65124232,38.67870048,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
