Presence of Pb,Presence of Cu,Purpose of the study,Main minerals/metals mined,Sample Number,Country,Top Region,Region/Province,corrected Region,District/Deposit Location,Sector details,Mine,Latitude,Longitude,Mineral analyzed,208Pb/206Pb,207Pb/206Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,Sources,Full reference
Pb minor,Cu major,Archaeo,,29,Bulgaria,,,Panagyurski,,Panagyurski region,"Radka, samp. 300",42.3697222222,24.2788888889,,2.084,0.8441,18.52,15.632732,38.59568,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
Pb minor,Cu major,Archaeo,,28,Bulgaria,,,Panagyurski,,Panagyurski region,"Radka, samp. 68",42.3697222222,24.2788888889,,2.086,0.845,18.51,15.64095,38.61186,"Gale et al., 2000","Gale, N.H., Stos-Gale, Z., Radouncheva, A., Ivanov, I., Lilov, P., Todorov, T., Panayotov, I., 2000. Early Metallurgy in Bulgaria. Annuary of Department of Archaeology - NBU/IAM IV-V, 102-168."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 5,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07328,0.83696,18.716,15.665,38.804,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 6,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07373,0.83708,18.721,15.671,38.822,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 8,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07339,0.83703,18.728,15.676,38.83,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 3,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07625,0.83775,18.704,15.669,38.834,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 1,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07641,0.83779,18.705,15.671,38.839,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 10,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07459,0.83715,18.74,15.688,38.878,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 7,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07624,0.83761,18.715,15.676,38.857,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb mine,ZVE 2,Bulgaria,,Rhodope,Rhodope,,,Zvezdel,41.4705885,25.5210383,galena,2.07712,0.83795,18.707,15.676,38.857,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 4,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.0693,0.83494,18.776,15.67683344,38.8531768,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 1,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.07091,0.83545,18.757,15.67053565,38.84405887,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 5,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.07081,0.83554,18.763,15.67723702,38.85460803,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 6,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.06976,0.83475,18.788,15.683283,38.88665088,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 2,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.07113,0.83561,18.769,15.68356409,38.87303897,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 7,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.07184,0.83523,18.81,15.7106763,38.9713104,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
Pb major,Cu minor,Archaeo,Pb/Ag mine,MAD 3,Bulgaria,,South Kardzhali,Rhodope,,,Madjarovo,41.6332545,25.8603411,galena,2.07384,0.83612,18.793,15.71320316,38.97367512,Oxalid,"Stos-Gale, Z.A., Gale, N.H., 2009. Metal provenancing using isotopes and the Oxford archaeological lead isotope database (OXALID). Archaeol Anthropol Sci 1, 195-213."
